info	erqa_mean	erqa_min	erqa_max	SI_mean	SI_min	SI_max	TI_mean	TI_min	TI_max	ssim_0_mean	ssim_0_min	ssim_0_max	ssim_1_mean	ssim_1_min	ssim_1_max	ssim_2_mean	ssim_2_min	ssim_2_max	lpips_mean	lpips_min	lpips_max	gabor_0_mean	gabor_0_min	gabor_0_max	gabor_1_mean	gabor_1_min	gabor_1_max	gabor_2_mean	gabor_2_min	gabor_2_max	gabor_3_mean	gabor_3_min	gabor_3_max	gabor_4_mean	gabor_4_min	gabor_4_max	gabor_5_mean	gabor_5_min	gabor_5_max	sobel_mean	sobel_min	sobel_max	lbp_mean	lbp_min	lbp_max	haff_mean	haff_min	haff_max	sobel_sd_mean	sobel_sd_min	sobel_sd_max	optical_mean	optical_min	optical_max	fft_mean	fft_min	fft_max	laplac_mean	laplac_min	laplac_max	colorfulness_diff_mean	colorfulness_diff_min	colorfulness_diff_max	colorfulness_mean	colorfulness_min	colorfulness_max	hist_mean	hist_min	hist_max	subjective
BigBuckBunny@BigBuckBunny_H264_4	0.799776728586077	0.7244609316119687	0.8370881298581451	30804080.0	26074882.0	33592772.0	92.44127209289833	0	122.3047713884601	0.9360654400196491	0.9071226531963601	0.9509365786327981	0.9544539944046743	0.9335676070772552	0.9626239558229088	0.9350206962027036	0.9143390835349818	0.9485080995694842	0.06366134	0.0487	0.1039	-0.3678803512870287	-1.2008611050706928	-0.0024649747233710813	-0.3678803512870287	-1.2008611050706928	-0.0024649747233710813	-0.4862821947008774	-1.641683426072459	-0.0028235574675047233	-0.4862821947008774	-1.641683426072459	-0.0028235574675047233	-1.1619565061791073	-2.632152749653834	-0.01251754032877905	-1.1619565061791073	-2.632152749653834	-0.01251754032877905	6153.79	4332.867	10012.918	-1681.953494600462	-1923.3951752045132	-1531.6448674545936	34997.70321540112	31149.34933509848	40761.27257581637	6606.3174	5028.9365	10001.05	0.106386416	0.056450576	0.26809695	65.70444039567386	61.219883807605974	77.0282385439653	9828.428227053348	8300.895373391957	13182.775276852746	1.036386910914449	0.7643137247688045	1.9914486619229166	52.833939944760765	50.09901761417716	54.158121213869435	0.026161335447175915	0.014436025567178337	0.034400307299817245	6.6724
BigBuckBunny@BigBuckBunny_SDH264HD_4	0.603614690090723	0.5167489099501319	0.6503814421777163	29051726.0	24891094.0	31527374.0	90.05757482314993	0	122.98720147551073	0.8730915191621911	0.8453527338119758	0.9142377302364435	0.9279139519718581	0.903705065037663	0.9484700834781156	0.9099762241053028	0.8845044689120825	0.9327882671326917	0.179124	0.1356	0.2178	-0.6387025506504839	-1.8965421583387325	-0.002874354426958114	-0.6387025506504839	-1.8965421583387325	-0.002874354426958114	-2.185480393827542	-3.822058082726871	-0.30008007000173753	-2.185480393827542	-3.822058082726871	-0.30008007000173753	-4.810773882216244	-8.787807488880567	-0.05719484218905649	-4.810773882216244	-8.787807488880567	-0.05719484218905649	8947.216	6997.8125	13959.484	-1881.741111827398	-2101.1934703877223	-1741.3816353688815	20457.503914479672	18460.096695304714	22840.94150861562	9708.771	8438.536	12941.709	0.25363588	0.10239053	0.7207148	84.70733911134266	72.15345252042897	92.97834504844222	14846.029794211077	11260.626803157984	17346.23555703081	1.6864551675160164	1.0873195631033	2.5769748795233838	52.18387168815919	49.55971673790092	53.38019493439815	0.029203054986624497	0.01997208007203104	0.04633301178436865	5.8966
BigBuckBunny@BigBuckBunny_H264_3	0.7516394462580503	0.6635558055053122	0.7937920836144889	30596584.0	25787454.0	33417800.0	89.39806504406297	0	122.25010433746273	0.9009517750526693	0.8591467066231921	0.9263539772685194	0.9391553694760133	0.9180866527131526	0.9517693782531589	0.9189660705332492	0.8962858181775626	0.9366870794675001	0.11111999	0.0939	0.1545	-0.509503589890985	-1.8707236884863245	-0.028710144233806266	-0.509503589890985	-1.8707236884863245	-0.028710144233806266	-0.8514460554061242	-2.440859386081232	-0.038383025929089605	-0.8514460554061242	-2.440859386081232	-0.038383025929089605	-1.775889131569677	-3.8411904788915274	-0.034197791458378854	-1.775889131569677	-3.8411904788915274	-0.034197791458378854	8581.026	6221.3765	13152.769	-1909.0020241794957	-2130.550163690121	-1754.8281967189837	35646.88356003888	30850.7294403228	42642.00960320702	9024.792	7219.7954	12683.492	0.23064974	0.13098508	0.6322293	77.99398940005284	72.02035592956014	90.2738479520255	12450.65002121413	10429.67362864246	16589.264842059758	1.4680296168092883	1.0855372883696504	2.4723585874971405	52.40229723886592	49.726698607433185	53.66509431630119	0.03290015516470595	0.01734050967058157	0.04347311194747249	4.931
BigBuckBunny@BigBuckBunny_SDH264HD_3	0.5847005886382132	0.4939331450033292	0.6327922635879328	28956536.0	24696200.0	31507808.0	88.95206469285601	0	122.82921296869738	0.8541019566504565	0.8206044453308923	0.8975914223654694	0.9206413341603934	0.8967443170272881	0.9432556764112424	0.9020313265122464	0.8763960123798322	0.9267057660535406	0.20663801	0.1582	0.2449	-0.6550579160462295	-1.7369937606486414	-0.003953416930754074	-0.6550579160462295	-1.7369937606486414	-0.003953416930754074	-2.166991242668664	-4.1761128231739235	-0.07533719545672748	-2.166991242668664	-4.1761128231739235	-0.07533719545672748	-4.974373899493336	-8.592485891929318	-0.1911297591749604	-4.974373899493336	-8.592485891929318	-0.1911297591749604	10380.144	8233.926	15786.456	-2006.469426546941	-2212.6427637555953	-1878.5523681814143	20839.29345500798	18402.381449149456	23968.023260168953	11100.863	9736.099	14383.306	0.38130584	0.19376175	0.832474	89.58200482158762	78.22573177559633	98.3272893831562	15987.419988542813	12409.052502105065	18996.381760745913	1.8810115135998218	1.263990072999988	2.817358685788136	51.989315342075386	49.45886938434013	53.16411061374464	0.030213213473253262	0.015611733989504424	0.04180626707248007	4.4138
BigBuckBunny@BigBuckBunny_H264_2	0.6894947639878055	0.5684715581386329	0.7435033398991789	30341618.0	25145802.0	33314278.0	84.6514214191711	0	121.96088027848707	0.8519949540531215	0.7983852436787732	0.8899419280173532	0.926050039362702	0.9038131239707996	0.9437728682115774	0.905472006726164	0.8817690057250873	0.9271680718870887	0.175778	0.1377	0.2234	-0.7936390178899305	-2.3974243909615462	-0.01972035899960424	-0.7936390178899305	-2.3974243909615462	-0.01972035899960424	-1.6820522940855294	-4.749516944617532	-0.06648797708194046	-1.6820522940855294	-4.749516944617532	-0.06648797708194046	-3.3740787449181964	-5.900819523880605	-0.13417607493296438	-3.3740787449181964	-5.900819523880605	-0.13417607493296438	11898.462	9002.168	17279.928	-2149.9585680654054	-2344.191118488422	-2008.1693155707762	35233.34888802296	30632.322536823747	44161.54530810715	12182.778	10058.166	16150.072	0.5348223	0.27700385	2.8951852	91.38737696118345	85.04119093126825	103.63704492884979	15541.984710235514	12752.489168785834	20966.719152027577	1.884363036262597	1.4494104002173387	2.8101859600642527	51.98596381941261	49.40853497732142	53.26974782040334	0.04048343550573705	0.021352900631928927	0.05090996642380386	2.6034
BigBuckBunny@BigBuckBunny_SDH264HD_2	0.5544369600599243	0.4549050369946884	0.608924477940022	28818862.0	24353950.0	31435186.0	86.62482149393519	0	122.71685014122843	0.8241411003688313	0.7837518710267315	0.8729629553186155	0.9131806489591219	0.8900487880845818	0.9375790848944998	0.8937702490305947	0.8696310799111716	0.9210924174148525	0.246692	0.1892	0.2845	-0.7567626802281168	-2.066361447230295	-0.008139626763821456	-0.7567626802281168	-2.066361447230295	-0.008139626763821456	-2.7477291781676056	-4.743485259312157	-0.53809673963262	-2.7477291781676056	-4.743485259312157	-0.53809673963262	-5.669302281352879	-9.998639814722186	-0.04714303436587026	-5.669302281352879	-9.998639814722186	-0.04714303436587026	12673.547	10023.563	18529.76	-2171.0886891352648	-2354.2981969155903	-2052.0723671449796	21542.675303883163	18693.672378641924	25186.57189853355	13216.687	11583.37	16505.05	0.6362934	0.30446106	1.348486	97.09017045802717	86.71861886216054	106.10480507948834	17643.35317231604	14156.146226992712	21039.004634250166	2.198458696358428	1.52322975638576	3.2235584799166688	51.67186815931677	49.24405544660979	52.82482417509419	0.03489257189178905	0.015729399897295646	0.055131442286868365	2.2931
BigBuckBunny@BigBuckBunny_H264_1	0.6323485896070311	0.5095166214575129	0.7031420900865069	30065124.0	24674288.0	33164886.0	81.93803153700514	0	121.53944033160873	0.8117184649914367	0.7424361694543568	0.8600949452293841	0.9177578681702617	0.8953239553091915	0.9398309732378857	0.8963185918635558	0.8722768035458586	0.921273281886506	0.22295512	0.1702	0.2586	-0.8626115433676914	-2.3303524174578327	-0.029497141903590263	-0.8626115433676914	-2.3303524174578327	-0.029497141903590263	-2.0432086983646234	-5.842497833155831	-0.038352739145043065	-2.0432086983646234	-5.842497833155831	-0.038352739145043065	-4.1754831451610395	-7.897930244912009	-0.6786790563108069	-4.1754831451610395	-7.897930244912009	-0.6786790563108069	14696.0	11401.2705	20391.867	-2309.4761361629808	-2510.4885978629736	-2175.832484360871	34216.513011134404	30228.974478139346	41954.936539101094	14820.395	12513.958	19351.709	0.9562381	0.54307157	1.9523667	100.49274198763953	90.41319061196333	113.23411322269786	18069.04713446659	14599.146824386691	24420.36993986782	2.1416307195967357	1.5223145187816272	2.9712993647505925	51.777332165804005	49.10189848110826	52.930515536577694	0.043105645427126846	0.02539097787523722	0.05669603988197874	0.75862
BigBuckBunny@BigBuckBunny_SDH264HD_1	0.4922951773128579	0.36451578384162653	0.5556300181717423	28443604.0	23319072.0	31322518.0	82.89160984787026	0	122.15334220293079	0.7731246614137742	0.7257229861180521	0.8262225083725618	0.9043797004635337	0.8821552288385137	0.9313102479084667	0.8844065313957613	0.8608971472383322	0.9137849253673408	0.30768466	0.2469	0.3427	-1.3934226638067269	-2.8697178834250834	-0.029123558149750543	-1.3934226638067269	-2.8697178834250834	-0.029123558149750543	-3.6505740970254754	-7.004487459276973	-0.6891439223010785	-3.6505740970254754	-7.004487459276973	-0.6891439223010785	-6.816486319448294	-11.082707574405031	-1.834972168090255	-6.816486319448294	-11.082707574405031	-1.834972168090255	16857.666	13651.62	23801.568	-2391.7960964843164	-2551.159540287514	-2287.7718417709402	22657.630683521398	18639.92894299761	26470.890068148445	16969.377	15040.843	20720.229	1.3892028	0.74948865	2.658721	108.28021067197876	101.80539417456751	118.83790962599636	20571.66321808837	17108.95157512581	24891.2513144679	2.560539611890643	1.8644375212759456	3.4994236508674064	51.30978724378457	48.74682516333555	52.43966645778506	0.041729304717722175	0.02701499111417793	0.05028357881951274	0.34483
BirdsInCage@BirdsInCage_H264_4	0.7480419551835449	0.6867734841344644	0.7854553525190502	18431108.0	17360658.0	18903004.0	79.62215037487478	0	123.97071413343973	0.9321246076986752	0.921356093391507	0.9386375370566435	0.9635762598178423	0.9599653944612146	0.9658562285012543	0.9625583650780195	0.9589712619921821	0.9652873469021227	0.08701611	0.0681	0.1285	-0.20418805308127075	-0.888265125438672	-0.00210936867104927	-0.20418805308127075	-0.888265125438672	-0.00210936867104927	-0.3144940681974737	-1.2893579184112667	-0.002626521968375413	-0.3144940681974737	-1.2893579184112667	-0.002626521968375413	-0.6439059520345066	-2.5211185357001153	-0.0014636024513984647	-0.6439059520345066	-2.5211185357001153	-0.0014636024513984647	4262.2246	3671.494	5630.1333	-2127.8401796817775	-2274.7043763970737	-2047.5250914213482	18229.292801477288	15767.519050250106	21612.36532635889	4993.519	4038.0793	6697.588	0.0405636	0.019606063	0.10656029	76.06390329814687	71.87707315807405	83.60252011966897	6905.068602236298	6250.443824241604	8024.844172941927	0.30291589873443514	0.1594070680642261	0.4892165813448486	59.76447253055097	57.576195147200806	62.76534384544979	0.014651563616008981	0.013287043023301357	0.016762506486837067	7.069
BirdsInCage@BirdsInCage_SDH264HD_4	0.5891362775790571	0.545669496134112	0.6197140050212859	17793996.0	16782984.0	18264978.0	75.68794759860359	0	123.58599542919765	0.9264693505012709	0.9177711324450432	0.9306407998232099	0.961051710027036	0.9581607265087427	0.9625567421637948	0.9590949058672142	0.9563117270118819	0.960563451948724	0.11975889	0.1071	0.143	-0.21704299816288583	-0.7317931173122676	-0.0025433243900619715	-0.21704299816288583	-0.7317931173122676	-0.0025433243900619715	-0.5039216363890284	-1.2891595481444562	-0.006372842808424477	-0.5039216363890284	-1.2891595481444562	-0.006372842808424477	-1.8778967379808127	-3.8609321636122056	-0.12151197674357404	-1.8778967379808127	-3.8609321636122056	-0.12151197674357404	4970.2666	4448.0684	6334.7876	-2193.2992280787835	-2304.1369316948158	-2129.981924805936	11907.366465911233	10706.09639411116	14489.279795766248	5804.761	4895.159	7492.982	0.064207144	0.036639713	0.16824831	78.93851328956437	74.4543144075518	84.5769770979221	7573.448042844774	7109.212051978757	8599.621852151407	0.42611765917211725	0.28142307462353955	0.614466081701444	59.64127077011329	57.49151381663293	62.60983236016954	0.015570887440749444	0.013994643903736389	0.017576295314468717	5.7069
