info	erqa_mean	erqa_min	erqa_max	SI_mean	SI_min	SI_max	TI_mean	TI_min	TI_max	ssim_0_mean	ssim_0_min	ssim_0_max	ssim_1_mean	ssim_1_min	ssim_1_max	ssim_2_mean	ssim_2_min	ssim_2_max	lpips_mean	lpips_min	lpips_max	gabor_0_mean	gabor_0_min	gabor_0_max	gabor_1_mean	gabor_1_min	gabor_1_max	gabor_2_mean	gabor_2_min	gabor_2_max	gabor_3_mean	gabor_3_min	gabor_3_max	gabor_4_mean	gabor_4_min	gabor_4_max	gabor_5_mean	gabor_5_min	gabor_5_max	sobel_mean	sobel_min	sobel_max	lbp_mean	lbp_min	lbp_max	haff_mean	haff_min	haff_max	sobel_sd_mean	sobel_sd_min	sobel_sd_max	optical_mean	optical_min	optical_max	fft_mean	fft_min	fft_max	laplac_mean	laplac_min	laplac_max	colorfulness_diff_mean	colorfulness_diff_min	colorfulness_diff_max	colorfulness_mean	colorfulness_min	colorfulness_max	hist_mean	hist_min	hist_max	subjective
child@aomenc_BasicVSR@bitrate=865	nan	0	0.7448680351906158	19100422.0	4978428.0	30192244.0	109.63401638958858	0	122.7656916125789	0.927520354356567	0.881548760748791	0.9569843077683231	0.9857095040457525	0.976586071679055	0.9913132176828423	0.96814523789592	0.9490338577831909	0.984086316890779	0.12600394	0.0893	0.2562	-1.0988357062142156	-3.298811693923589	-0.20146876513702364	-1.0988357062142156	-3.298811693923589	-0.20146876513702364	-1.7308308051544992	-6.1005525496806285	-0.05275268286617475	-1.7308308051544992	-6.1005525496806285	-0.05275268286617475	-2.4241516712727997	-7.099470426819625	-0.07644036130435221	-2.4241516712727997	-7.099470426819625	-0.07644036130435221	2644.957	1811.6421	5483.278	-634.769828328688	-732.4718424622205	-551.6067439761773	4088.8667263782754	0.0	8360.90898168375	3369.4055	1687.1909	5958.353	0.09863066	0.00828337	0.23958713	123.02448603958378	104.28228916640272	147.847202985501	6106.372398592277	3658.005467464476	8350.931684548737	0.5800548339342284	0.0061660083359917905	20.015559473205993	27.022107148493976	0.30030731857312803	43.034368879003594	0.025876106135664812	0.006136074510567976	0.06084543715288466	1.5917724572082004
child@aomenc_BasicVSR@bitrate=459	nan	0	0.6848	18818430.0	4936293.5	30045106.0	110.0105275008421	0	123.71976326920145	0.9208636467094299	0.8694798473580296	0.9546979475700182	0.9855242819122106	0.9765934685682969	0.9913485661558219	0.9679600290604935	0.9493825512920864	0.9835730210112548	0.13678159	0.0881	0.2616	-1.1686943830864478	-3.272927777627969	-0.23512672928498057	-1.1686943830864478	-3.272927777627969	-0.23512672928498057	-2.499641989634662	-7.249896614363378	-0.04384304506390573	-2.499641989634662	-7.249896614363378	-0.04384304506390573	-2.9613164851995113	-8.534122262413552	-0.2683276247305792	-2.9613164851995113	-8.534122262413552	-0.2683276247305792	3023.91	2039.0259	5861.3555	-648.4847861148271	-738.1327793832218	-560.8564878825955	4151.08011523962	0.0	9376.352595759185	3736.1345	1972.1239	6205.037	0.18860725	0.0069587254	2.878071	126.39251858767078	107.26770955258873	152.74311723244853	6620.098203186404	3693.1558320764098	9902.568757650713	0.6342325730597256	0.03310884757279098	20.031909970445486	26.961499657873667	0.2839568213336356	42.80789301866903	0.027983757336080495	0.006908613705902025	0.06084537540413839	1.2311238289011666
child@aomenc_BasicVSR@bitrate=1456	0.5545452087439712	0	0.7689822294022617	19233778.0	4986732.5	30405892.0	109.53534522772388	0	123.0866878812106	0.9314485104482858	0.8865732823824087	0.9591873954862178	0.9856698109039529	0.9773581511870335	0.9912675374732753	0.9684225455390445	0.9511481114921488	0.9839730336086416	0.11966318	0.0857	0.2559	-1.1824798937869856	-3.8119934412711904	-0.22913226356787272	-1.1824798937869856	-3.8119934412711904	-0.22913226356787272	-1.448492697566853	-5.971746611538239	-0.03855602405515039	-1.448492697566853	-5.971746611538239	-0.03855602405515039	-1.9073640112618504	-6.366902711764207	-0.08866568201518339	-1.9073640112618504	-6.366902711764207	-0.08866568201518339	2434.6597	1686.5546	5245.7314	-624.5792710654094	-718.4921711473271	-538.5916820746492	4071.450491328108	0.0	8136.18829673945	3196.396	1676.8445	5589.9365	0.070348926	0.0064165154	0.14253026	120.79462444720194	102.50997247776635	147.77814065087782	5855.794976709039	3580.536831258687	7822.215031562351	0.5996131069487881	0.0038497987412569046	19.993123798542143	26.98237836676624	0.3227429932369781	42.89938830700363	0.025088058939531425	0.005749753205767809	0.06084542223531398	1.8932921881151836
child@aomenc_RBPN@bitrate=865	0.5370046183209695	0	0.7616361071932299	19090522.0	5000946.5	30261970.0	110.3325882661707	0	123.53525619797962	0.9280930598750874	0.8816978093850989	0.957311264321277	0.9856872133079373	0.9762003111561692	0.991559676201808	0.9677812697071271	0.9468083596851024	0.9847303068404929	0.1243908	0.0921	0.179	-1.078562794874254	-3.4545626328737455	-0.2282645671634253	-1.078562794874254	-3.4545626328737455	-0.2282645671634253	-1.7328110077509569	-4.641480193053901	-0.004495258758809681	-1.7328110077509569	-4.641480193053901	-0.004495258758809681	-2.422304678724662	-7.006284647631625	-0.0631333552373545	-2.422304678724662	-7.006284647631625	-0.0631333552373545	2623.1987	1791.5116	5428.2666	-634.1987470413023	-723.4998272287285	-549.1001730103534	4112.515152938968	0.0	7991.097484075639	3371.0515	1701.8937	5638.006	0.100505486	0.009704477	0.20943493	123.1379130200505	103.97150855719643	147.80013482152822	6117.906099969017	3663.284864708176	8457.50719775041	0.30380801351935366	0.005179501933000097	0.8794041206665497	27.290411685784942	17.235959396918393	43.022673941845696	0.025806906536890422	0.006159985659806537	0.050359660887284094	1.6284762234068082
child@aomenc_RBPN@bitrate=459	nan	0	0.7133421400264202	18778554.0	4854046.0	30051154.0	110.55920720836849	0	123.62913790905355	0.9214200367066986	0.8715718105460786	0.9551634797028231	0.985648278025112	0.9765758417242804	0.991587356712256	0.9677267330141865	0.9473321267292288	0.9839772118983533	0.13599999	0.0917	0.1915	-1.0710152061060283	-2.9377481934735465	-0.23206017657379446	-1.0710152061060283	-2.9377481934735465	-0.23206017657379446	-2.4859519271356856	-7.535718964704394	-0.23063065006259267	-2.4859519271356856	-7.535718964704394	-0.23063065006259267	-3.0307361303300677	-8.035888643094689	-0.07057836865919243	-3.0307361303300677	-8.035888643094689	-0.07057836865919243	3002.3489	2051.5454	5924.426	-647.9433360552924	-736.8887297279014	-559.3138653743531	4112.95579393503	0.0	8235.52269136574	3705.4343	1836.8484	5998.493	0.20023394	0.007950371	2.846124	126.37329132319773	105.37274209992151	153.62553502363076	6647.203884780285	3689.8872611504	9718.914136877638	0.36702647742365085	0.008812746937607585	0.8741829480895724	27.22902112834684	17.34269688849957	42.91385955480157	0.027637753521427107	0.00697813053851515	0.05338514475643614	1.1941805078707761
child@aomenc_RBPN@bitrate=1456	0.5656173613266189	0	0.7500000000000001	19271644.0	5113369.0	30704948.0	110.47254073540496	0	123.37297563534088	0.9315788942435109	0.887249591115921	0.9587034698419057	0.9857087698331015	0.9765610126333069	0.9915060666374507	0.9680612783926626	0.9492540208908881	0.9847732441047654	0.117773674	0.0863	0.1739	-1.1373888082609172	-3.711006280043204	-0.2169192145686913	-1.1373888082609172	-3.711006280043204	-0.2169192145686913	-1.3325135393623624	-3.4450547647374963	-0.009143995303766108	-1.3325135393623624	-3.4450547647374963	-0.009143995303766108	-2.100720115416135	-6.914886075795622	-0.04110583074628086	-2.100720115416135	-6.914886075795622	-0.04110583074628086	2428.4746	1701.4814	5540.294	-625.6969772282224	-724.4660102447871	-539.6832404290502	4113.115483204758	0.0	8628.77465228986	3183.2754	1659.0352	5515.7373	0.07543185	0.008899685	0.32292306	120.9115238335207	102.10619482830803	146.40145362328755	5911.157973415482	3605.9556292333937	8177.323523011671	0.3230574787218994	0.0015331813646071168	0.8796904683747577	27.269137274993053	17.277117187027997	43.02262622143617	0.024993104795700587	0.005757753794845672	0.04872647922084012	2.064742366209702
child@aomenc_Real-ESRGAN@bitrate=865	0.5236838503771248	0	0.7137637028014616	20630938.0	4700286.5	32471976.0	110.67277095233344	0	123.05005555045464	0.9214661135314554	0.8667299891984894	0.9571430239349018	0.9859444549351016	0.9778014284702975	0.9912207543739137	0.9669175176259683	0.9472249246441133	0.9838360732694891	0.1276	0.086	0.1935	-0.8118176247862154	-2.8848439637941743	-0.1346031293178188	-0.8118176247862154	-2.8848439637941743	-0.1346031293178188	-1.5770213295061346	-3.7652243844685986	-0.02175151425685287	-1.5770213295061346	-3.7652243844685986	-0.02175151425685287	-2.1205523861402513	-7.512798536423437	-0.00012216412012625147	-2.1205523861402513	-7.512798536423437	-0.00012216412012625147	3159.5574	2010.3486	5532.9907	-640.6488499441708	-726.115004665239	-567.6319229923561	7516.193520177228	0.0	15014.770927323534	3823.0205	1950.4979	5740.143	0.14801177	0.010728718	0.35458133	122.31988163229028	102.59210589260685	149.59333550620934	7240.405454482301	3707.2960496836504	10427.642494830747	0.482971004411778	0.024898959426046474	1.5456023332737772	27.143718807512048	16.705737829055476	43.00940631247465	0.026096976376310563	0.006726103246603237	0.049488470788181776	0.8016157259258287
child@aomenc_Real-ESRGAN@bitrate=459	nan	0	0.7088290544771446	20610416.0	4620690.0	32385616.0	111.17128675867724	0	123.86953967480328	0.9163600167573387	0.8672825290296836	0.9551094440580966	0.9857919929740299	0.9776157670671705	0.9910972811523651	0.9666967355489857	0.9448635394561362	0.984065615168127	0.13286841	0.0866	0.1996	-0.9079390331173035	-2.728574646393253	-0.13110827549676957	-0.9079390331173035	-2.728574646393253	-0.13110827549676957	-1.7113200703058	-6.314361960975265	-0.018388749415933547	-1.7113200703058	-6.314361960975265	-0.018388749415933547	-2.2249197498145583	-6.999068775050667	-0.015558765506175217	-2.2249197498145583	-6.999068775050667	-0.015558765506175217	3441.4973	2265.3088	7240.063	-651.7417105374906	-736.7245075331755	-583.226371145887	7295.182344959125	0.0	14783.439924456014	4006.5007	2008.8425	6116.0845	0.2178223	0.013470634	0.4704481	124.1927339168862	102.93493951866307	153.80601349553035	7535.309486826741	3704.618738817802	10370.54096949624	0.5126262703394426	0.012277627397246249	1.537133167973046	27.07449093070465	16.80135951884945	42.94096889968553	0.026619477625055964	0.007321858480554868	0.05133037455683143	0.37260494589432736
child@aomenc_Real-ESRGAN@bitrate=1456	0.5413805822531121	0	0.7091836734693877	20551178.0	4757398.0	32798630.0	110.61863098582954	0	123.41065728724547	0.9240034436386741	0.8754280756605527	0.9589931514773768	0.9859418565749006	0.9779116598419574	0.9912123653397944	0.9674266525214968	0.9475368858659787	0.9835967873813635	0.12380395	0.0823	0.1848	-0.7676387076636665	-3.5930090534412593	-0.1434828160462538	-0.7676387076636665	-3.5930090534412593	-0.1434828160462538	-1.5297009563326651	-4.55276712597697	-0.10015224871818207	-1.5297009563326651	-4.55276712597697	-0.10015224871818207	-2.3580140807059733	-8.305849745036596	-0.006281471081733094	-2.3580140807059733	-8.305849745036596	-0.006281471081733094	3050.1353	1923.299	6066.4033	-631.7834566206255	-721.5143796210856	-560.6763772444849	7434.285878816456	0.0	14699.636322031916	3721.727	1958.2386	5739.297	0.12591863	0.009656357	0.2801066	121.1412868043101	102.24162923469262	145.16124031203734	7136.489471973643	3615.8888257245962	10403.959246363856	0.49760093404153577	0.0005552475410652846	1.495379998658347	27.120554848105378	16.736909089803603	43.06590135382329	0.025174203190595584	0.0063817410612558865	0.047498838732471134	0.8117432063828038
child@aomenc_RealSR@bitrate=865	0.5371275252572819	0	0.7394094993581514	19235352.0	4862834.5	30735718.0	110.78001577478474	0	123.15572128285034	0.9191495578728582	0.8597718683896771	0.9554008679805934	0.9851594206657307	0.9762033162474982	0.9908146845456026	0.9652352111145366	0.9438920101742423	0.9826283174586407	0.11561315	0.0795	0.1709	-1.2303368424657097	-4.261804255584673	-0.20765228904351427	-1.2303368424657097	-4.261804255584673	-0.20765228904351427	-2.4180967908753783	-6.903344367152632	-0.09212934626292019	-2.4180967908753783	-6.903344367152632	-0.09212934626292019	-3.1491720824703755	-7.831915927832094	-0.002662204253403227	-3.1491720824703755	-7.831915927832094	-0.002662204253403227	2900.8015	1950.627	5572.6943	-648.3215742406659	-737.8549993054191	-583.2177980823287	5056.780342600834	0.0	10979.895354692593	3659.8047	1852.5214	6176.987	0.1416632	0.0101480875	0.34633383	123.88938368268558	105.39958137623162	148.14275479831963	6739.981276089546	3733.399523222769	9699.847833858013	0.25502704089909606	0.005237963555472902	0.7939752474439672	27.6538174512493	17.671754566519816	43.58465080433557	0.026067664215164186	0.006862703405675182	0.047223220313645536	2.4799868546082813
